11:34:36.975654 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:37.006910 run-command.c:738            | d0 | main                     | child_start  |     |  0.032273 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:37.009202 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.009237 common-main.c:49             | d1 | main                     | start        |     |  0.000539 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:37.009372 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.009516 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:37.129042 git.c:785                    | d1 | main                     | exit         |     |  0.120349 |           |              | code:0
11:34:37.129059 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.120368 |           |              | code:0
11:34:37.129925 run-command.c:993            | d0 | main                     | child_exit   |     |  0.155289 |  0.123016 |              | [ch0] pid:8075 code:0
11:34:37.130056 git.c:785                    | d0 | main                     | exit         |     |  0.155426 |           |              | code:0
11:34:37.130075 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.155445 |           |              | code:0
11:34:37.134922 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.134954 common-main.c:49             | d0 | main                     | start        |     |  0.000488 |           |              | git branch -f refs/bundles/2021-10-19 9d530dc0024503ab4218fe6c4395b8a0aa245478
11:34:37.135058 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.135272 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:37.136246 git.c:785                    | d0 | main                     | exit         |     |  0.001787 |           |              | code:0
11:34:37.136267 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001809 |           |              | code:0
11:34:37.139802 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.139834 common-main.c:49             | d0 | main                     | start        |     |  0.000483 |           |              | git config --replace-all bundle.latestTimestamp 1634597290
11:34:37.139936 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.140146 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:37.140505 git.c:785                    | d0 | main                     | exit         |     |  0.001161 |           |              | code:0
11:34:37.140528 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001184 |           |              | code:0
11:34:37.352472 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.352513 common-main.c:49             | d0 | main                     | start        |     |  0.000562 |           |              | git bundle unbundle .git/bundles/8.bundle
11:34:37.352637 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.352972 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:37.376776 run-command.c:738            | d0 | main                     | child_start  |     |  0.024827 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:37.379023 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.379079 common-main.c:49             | d1 | main                     | start        |     |  0.000547 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:37.379193 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.379338 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
